IDE;programa;IDG;corte1;corte2;prom;fallas;fallaP;curso;creditos;IDP;nestud;periodo;a–o;jornada;profesor;dedicacion;nsala;sala;horaExamen;inicio;final;nota;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
2025;Ingenier’a Ambiental;G6;3;3;3;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;19;Torre P Sal—n 201;9:00 a.m.;09:04:00;09:56:00;1;0;0,5;0;0;0;0;0;0;0,5;0
2027;Ingenier’a Industrial;G6;4;3;3,5;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:09:00;09:58:00;2;0;0;0;0,5;0;0,5;0;0;0,5;0,5
1505;Ingenier’a De Sistemas;G7;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:09:00;09:48:00;5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1509;Ingenier’a Industrial;G7;3;1,5;2,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:15:00;10:37:00;0;0;0;0;0;0;0;0;0;0;0
1510;Ingenier’a De Sistemas;G7;3,5;1,5;2,5;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:14:00;10:14:00;3,5;0,5;0,5;0,5;0,5;0,5;0;0;0;0,5;0,5
1520;Ingenier’a Electr—nica;G7;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;10:20:00;5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1560;Ingenier’a Ambiental;G7;2;0,5;1,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:03:00;10:21:00;1,5;0;0;0,5;0;0;0;0;0;0,5;0,5
1624;Ingenier’a Electr—nica;G7;2;0;0;4;23,53;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;8;Centro de Computo Sala 12;9:00 a.m.;;;;;;;;;;;;;
1693;Ingenier’a Industrial;G7;2,5;2,5;2,5;3;17,65;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;;;;;;;;;;;;;
1695;Ingenier’a Industrial;G7;0;0;0;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;16;Centro de Computo Sala 7;9:00 a.m.;;;;;;;;;;;;;
1739;Ingenier’a Electr—nica;G7;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:12:00;10:23:00;3,5;0,5;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5
1769;Ingenier’a Electr—nica;G7;3;1,5;2,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;20;Torre P Sal—n 303;9:00 a.m.;09:07:00;10:19:00;0,5;0,5;0;0;0;0;0;0;0;0;0
1781;Ingenier’a Electr—nica;G7;2,5;0;1,25;8;47,06;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;;;;;;;;;;;;;
1826;Ingenier’a Industrial;G7;4;2;3;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:06:00;10:15:00;2;0;0;0;0,5;0;0,5;0;0;0,5;0,5
1853;Ingenier’a Electr—nica;G7;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:06:00;10:18:00;3,5;0,5;0;0,5;0;0,5;0;0,5;0,5;0,5;0,5
1861;Ingenier’a Ambiental;G7;1,5;0;0;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;16;Centro de Computo Sala 7;9:00 a.m.;;;;;;;;;;;;;
1906;Ingenier’a Ambiental;G7;3,5;2;2,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:14:00;10:16:00;1,5;0;0;0,5;0;0;0;0;0,5;0,5;0
1944;Ingenier’a Electr—nica;G7;3,5;2;2,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;19;Torre P Sal—n 201;9:00 a.m.;09:14:00;10:21:00;3,5;0;0;0,5;0,5;0;0,5;0,5;0,5;0,5;0,5
1947;Ingenier’a Mec‡nica;G7;1;0;0;6;35,29;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;7;Centro de Computo Sala 11;9:00 a.m.;;;;;;;;;;;;;
1957;Ingenier’a Electr—nica;G7;4;2;3;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;10:31:00;3,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0;0
1989;Ingenier’a Ambiental;G7;2;0;1;15;88,24;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;;;;;;;;;;;;;
2006;Ingenier’a Industrial;G7;3,5;1,5;2,5;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:11:00;10:21:00;0,5;0;0;0,5;0;0;0;0;0;0;0
1506;Ingenier’a Ambiental;G26;3;3,5;3,25;0;0;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;;;;;;;;;;;;;
1571;Ingenier’a Ambiental;G26;3;3;3;3;17,65;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:18:00;19:29:00;0,5;0;0;0,5;0;0;0;0;0;0;0
1638;Ingenier’a Industrial;G26;3,5;3;3,25;8;47,06;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;18:34:00;19:02:00;2;0;0;0,5;0;0,5;0,5;0;0;0,5;0
1772;Ingenier’a Industrial;G26;3,5;2,5;3;7;41,18;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:29:00;19:28:00;1;0;0;0;0;0;0,5;0;0,5;0;0
1792;Ingenier’a Mec‡nica;G26;4,5;3,5;4;2;11,76;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:14:00;18:56:00;2;0;0;0;0,5;0,5;0;0,5;0;0,5;0
1841;Ingenier’a Industrial;G26;4;3;3,5;3;17,65;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:15:00;19:11:00;2;0;0,5;0;0;0,5;0;0;0,5;0,5;0
1852;Ingenier’a Ambiental;G26;3;2;2,5;11;64,71;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:44:00;19:12:00;2;0;0;0;0;0;0,5;0,5;0,5;0,5;0
1872;Ingenier’a Ambiental;G26;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:20:00;19:07:00;0,5;0;0;0;0;0,5;0;0;0;0;0
1910;Ingenier’a Ambiental;G26;0;1,5;0;32;188,24;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;;;;;;;;;;;;;
1978;Ingenier’a Ambiental;G26;4,5;4;4,25;10;58,82;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:23:00;19:06:00;1;0;0;0;0;0;0;0,5;0;0,5;0
2034;Ingenier’a Industrial;G26;4,5;3,5;4;4;23,53;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:16:00;19:09:00;1;0;0,5;0;0;0,5;0;0;0;0;0
2037;Ingenier’a Electr—nica;G26;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:19:00;19:16:00;2,5;0,5;0,5;0;0,5;0;0;0;0,5;0,5;0
2041;Ingenier’a Ambiental;G26;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:13:00;19:22:00;1;0;0;0;0;0,5;0;0;0,5;0;0
2103;Ingenier’a Ambiental;G26;4;3,5;3,75;6;35,29;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:14:00;18:57:00;2;0,5;0,5;0,5;0;0,5;0;0;0;0;0
2114;Ingenier’a De Sistemas;G26;4,5;4;4,25;2;11,76;Algoritmos y programaci—n;3;212;15;2;2017;noche;Pr’amo;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;18:09:00;19:42:00;1,5;0;0;0;0;0,5;0,5;0;0;0,5;0
1507;Ingenier’a Ambiental;G25;1,5;2,5;2;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;29;Centro de Computo Sala 9;6:00 p.m.;18:36:00;19:00:00;0,5;0,5;0;0;0;0;0;0;0;0;0
1515;Ingenier’a Electr—nica;G25;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;26;Centro de Computo Sala 11;6:00 p.m.;18:12:00;19:12:00;4,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5;0,5
1525;Ingenier’a Ambiental;G25;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:24:00;18:52:00;1;0;0;0;0;0;0;0,5;0,5;0;0
1554;Ingenier’a Electr—nica;G25;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;27;Centro de Computo Sala 7;6:00 p.m.;18:20:00;18:57:00;1;0;0;0;0;0,5;0;0;0,5;0;0
1555;Ingenier’a Ambiental;G25;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;25;Centro de Computo Sala 10;6:00 p.m.;18:17:00;19:18:00;1;0;0,5;0;0,5;0;0;0;0;0;0
1566;Ingenier’a Ambiental;G25;3;4;3,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;31;Torre P Sal—n 303;6:00 p.m.;18:15:00;19:30:00;1;0;0;0,5;0;0;0;0,5;0;0;0
1569;Ingenier’a Ambiental;G25;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;32;Torre P Sal—n 301;6:00 p.m.;18:21:00;19:11:00;4,5;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1704;Ingenier’a Ambiental;G25;3;3,5;3,25;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;24;Centro de Computo Sala 6;6:00 p.m.;18:18:00;19:47:00;1;0;0;0;0;0,5;0;0;0,5;0;0
1748;Ingenier’a Ambiental;G25;1,5;1,5;1,5;8;47,06;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;26;Centro de Computo Sala 11;6:00 p.m.;;;;;;;;;;;;;
1749;Ingenier’a Ambiental;G25;1,5;1,5;1,5;8;47,06;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;27;Centro de Computo Sala 7;6:00 p.m.;;;;;;;;;;;;;
1755;Ingenier’a Ambiental;G25;4;4;4;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;26;Centro de Computo Sala 11;6:00 p.m.;18:14:00;19:28:00;2;0;0;0;0,5;0,5;0;0;0;0,5;0,5
1838;Ingenier’a Ambiental;G25;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;19:00:00;1;0;0;0;0;0;0;0;0,5;0,5;0
1870;Ingenier’a Industrial;G25;4;3;3,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;28;Centro de Computo Sala 8;6:00 p.m.;18:19:00;19:27:00;1;0;0;0;0;0,5;0;0;0;0;0,5
1898;Ingenier’a Ambiental;G25;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;27;Centro de Computo Sala 7;6:00 p.m.;18:20:00;19:09:00;0,5;0;0;0,5;0;0;0;0;0;0;0
1903;Ingenier’a Ambiental;G25;1,5;1,5;1,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;30;Torre P Sal—n 201;6:00 p.m.;;;;;;;;;;;;;
1928;Ingenier’a Ambiental;G25;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:18:00;19:34:00;3;0;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5
2052;Ingenier’a Ambiental;G25;1,5;0;0;0;0;Algoritmos y programaci—n;3;207;17;2;2017;noche;Briseida;TC;28;Centro de Computo Sala 8;6:00 p.m.;;;;;;;;;;;;;
1508;Ingenier’a De Sistemas;G24;3;3;3;0;0;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:17:00;19:32:00;3;0;0;0;0,5;0,5;0;0,5;0,5;0,5;0,5
1552;Ingenier’a Ambiental;G24;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:44:00;19:58:00;1,5;0;0,5;0,5;0;0;0;0;0;0,5;0
1634;Ingenier’a Electr—nica;G24;3,5;2,5;3;2;11,76;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;18:20:00;19:13:00;1,5;0,5;0;0;0;0,5;0;0;0;0;0,5
1656;Ingenier’a Industrial;G24;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;19:21:00;1,5;0;0,5;0;0,5;0;0,5;0;0;0;0
1709;Ingenier’a Industrial;G24;3;3;3;7;41,18;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:25:00;19:09:00;1,5;0;0;0;0,5;0;0;0;0,5;0;0,5
1729;Ingenier’a Electr—nica;G24;2;0;1;27;158,82;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;;;;;;;;;;;;;
1784;Ingenier’a De Sistemas;G24;3;2,5;2,75;1;5,88;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:19:00;19:35:00;1;0,5;0;0;0;0,5;0;0;0;0;0
1803;Ingenier’a Mec‡nica;G24;2;2,5;2,25;12;70,59;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:12:00;19:15:00;0,5;0;0;0;0;0;0,5;0;0;0;0
1820;Ingenier’a Industrial;G24;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:10:00;19:39:00;3;0;0,5;0,5;0,5;0;0;0,5;0,5;0,5;0
1901;Ingenier’a Industrial;G24;3;2,5;2,75;1;5,88;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;;;;;;;;;;;;;
1920;Ingenier’a Mec‡nica;G24;3;3;3;0;0;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:22:00;19:00:00;1;0;0;0;0;0;0;0,5;0;0;0,5
1932;Ingenier’a Mec‡nica;G24;2;0;0;3;17,65;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;;;;;;;;;;;;;
1950;Ingenier’a Industrial;G24;2,5;3;2,75;6;35,29;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;;;;;;;;;;;;;
2024;Ingenier’a De Sistemas;G24;3;3,5;3,25;3;17,65;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;18:28:00;19:55:00;2;0;0,5;0;0;0,5;0;0;0,5;0,5;0
2086;Ingenier’a Mec‡nica;G24;2,5;2,5;2,5;7;41,18;Algoritmos y programaci—n;3;208;15;2;2017;noche;Menelao;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;18:55:00;2;0;0;0,5;0,5;0;0;0;0;0,5;0,5
1511;Ingenier’a Mec‡nica;G28;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;18:12:00;18:57:00;3;0,5;0,5;0;0,5;0;0,5;0;0,5;0,5;0
1524;Ingenier’a Ambiental;G28;0;0;0;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;;;;;;;;;;;;;
1545;Ingenier’a Ambiental;G28;3;3;3;1;5,88;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;19:14:00;1,5;0,5;0;0;0;0,5;0;0;0;0,5;0
1565;Ingenier’a Electr—nica;G28;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:14:00;18:50:00;2;0;0;0,5;0,5;0;0;0,5;0,5;0;0
1591;Ingenier’a Mec‡nica;G28;0;0;0;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;;;;;;;;;;;;;
1592;Ingenier’a Mec‡nica;G28;4;4;4;3;17,65;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:26:00;19:14:00;1;0;0;0;0;0;0,5;0,5;0;0;0
1673;Ingenier’a Electr—nica;G28;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:16:00;19:00:00;1,5;0;0,5;0;0,5;0;0;0;0;0,5;0
1682;Ingenier’a Electr—nica;G28;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;;;;;;;;;;;;;
1694;Ingenier’a Ambiental;G28;0;0;0;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;;;;;;;;;;;;;
1711;Ingenier’a Ambiental;G28;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:20:00;19:41:00;1;0;0;0;0,5;0;0;0;0;0,5;0
1809;Ingenier’a Electr—nica;G28;0;0;0;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;;;;;;;;;;;;;
1816;Ingenier’a Electr—nica;G28;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:19:00;19:07:00;2;0;0;0,5;0,5;0,5;0;0,5;0;0;0
1832;Ingenier’a Ambiental;G28;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:19:00;19:41:00;0,5;0;0;0;0,5;0;0;0;0;0;0
1856;Ingenier’a Electr—nica;G28;3;4;3,5;2;11,76;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:20:00;18:52:00;2;0;0,5;0,5;0;0;0;0;0;0,5;0,5
1876;Ingenier’a Ambiental;G28;3,5;4,5;4;1;5,88;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:17:00;19:15:00;1,5;0;0;0,5;0,5;0;0;0;0;0,5;0
1959;Ingenier’a Ambiental;G28;5;4;4,5;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;18:12:00;19:05:00;1,5;0;0,5;0;0,5;0;0;0;0;0;0,5
2010;Ingenier’a Mec‡nica;G28;5;4,5;4,75;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;;;;;;;;;;;;;
2036;Ingenier’a Industrial;G28;5;4;4,5;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:16:00;18:40:00;4;0,5;0,5;0;0,5;0,5;0;0,5;0,5;0,5;0,5
2064;Ingenier’a Ambiental;G28;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;18:23:00;19:25:00;1,5;0,5;0,5;0;0,5;0;0;0;0;0;0
2107;Ingenier’a Industrial;G28;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;205;20;2;2017;noche;NŽstor;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:26:00;19:21:00;2;0;0,5;0;0,5;0,5;0,5;0;0;0;0
1512;Ingenier’a Industrial;G9;3,5;2;2,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:27:00;10:28:00;1;0;0;0;0;0;0,5;0;0,5;0;0
1540;Ingenier’a Mec‡nica;G9;4;1,5;2,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;10:11:00;3,5;0,5;0;0;0,5;0,5;0;0,5;0,5;0,5;0,5
1595;Ingenier’a Ambiental;G9;3,5;1,5;2,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:22:00;11:01:00;3,5;0;0;0,5;0,5;0,5;0;0,5;0,5;0,5;0,5
1602;Ingenier’a De Sistemas;G9;4;3;3,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:16:00;10:16:00;3;0,5;0,5;0;0,5;0,5;0,5;0;0;0;0,5
1636;Ingenier’a Ambiental;G9;3;2,5;2,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;20;Torre P Sal—n 303;9:00 a.m.;09:08:00;10:22:00;1;0,5;0;0;0;0;0;0;0;0;0,5
1652;Ingenier’a Industrial;G9;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;19;Torre P Sal—n 201;9:00 a.m.;09:29:00;10:10:00;3,5;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1659;Ingenier’a Ambiental;G9;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:05:00;09:59:00;3,5;0;0,5;0,5;0,5;0,5;0,5;0;0;0,5;0,5
1676;Ingenier’a De Sistemas;G9;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:13:00;10:03:00;3;0,5;0;0;0,5;0,5;0;0;0,5;0,5;0,5
1730;Ingenier’a De Sistemas;G9;4;2,5;3,25;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;11:01:00;1,5;0,5;0;0;0;0;0;0,5;0;0,5;0
1762;Ingenier’a Ambiental;G9;3,5;2;2,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;09:56:00;0,5;0;0;0;0;0;0;0;0;0;0,5
1765;Ingenier’a Industrial;G9;1,5;0;0,75;15;88,24;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;;;;;;;;;;;;;
1776;Ingenier’a Industrial;G9;3,5;1,5;2,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:05:00;09:41:00;2;0;0;0,5;0;0,5;0;0;0,5;0;0,5
1789;Ingenier’a Ambiental;G9;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:14:00;10:25:00;2;0,5;0;0,5;0;0;0;0;0,5;0;0,5
1794;Ingenier’a Ambiental;G9;3;3;3;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:11:00;10:30:00;0,5;0,5;0;0;0;0;0;0;0;0;0
1810;Ingenier’a Electr—nica;G9;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:29:00;10:28:00;2,5;0,5;0,5;0,5;0;0;0;0;0;0,5;0,5
1846;Ingenier’a Electr—nica;G9;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:03:00;10:10:00;0,5;0;0;0;0;0;0;0;0,5;0;0
